UF,TOTAL_ESCOLA,MATRICULAS,VERBA
AC,81,4660,1509000.0
AL,99,24862,4719300.0
AM,689,50753,14502950.0
AP,70,12150,2522500.0
BA,1135,230830,45974500.0
CE,496,68126,15178900.0
DF,2,1281,212150.0
ES,28,4486,952900.0
GO,31,3947,902050.0
MA,1690,182166,44224900.0
MG,357,50321,11118150.0
MS,31,3628,854200.0
MT,65,5924,1538600.0
PA,1157,164365,36224750.0
PB,262,49512,10046800.0
PE,337,79493,15293950.0
PI,399,43202,10470300.0
PR,17,2421,533150.0
RJ,164,49427,9054050.0
RN,271,51601,10450150.0
RO,14,2689,543350.0
RR,14,1223,323450.0
RS,156,18711,4366650.0
SC,32,6385,1277750.0
SE,219,40370,8245500.0
SP,31,4082,922300.0
TO,91,8536,2190400.0
